,No.,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,team
0,24.0,Stephon Gilmore*+,29.0,CB/db,16.0,16.0,6,101,51,50.5%,599,11.7,5.9,0,44.1,11.5,382,217,0,0,0,0.0,0,53,6,10.2%,nwe
1,31.0,Jonathan Jones,26.0,DB,15.0,9.0,0,75,45,60.0%,534,11.9,7.1,5,104.0,11.1,317,217,2,0,0,0.0,0,53,5,8.6%,nwe
2,27.0,J.C. Jackson,24.0,db,16.0,6.0,5,62,33,53.2%,339,10.3,5.5,0,35.6,12.8,199,140,4,1,0,0.0,1,36,3,7.7%,nwe
3,30.0,Jason McCourty,32.0,CB,12.0,10.0,1,56,27,48.2%,267,9.9,4.8,0,54.7,12.3,191,76,1,0,0,0.0,0,40,1,2.4%,nwe
4,23.0,Patrick Chung,32.0,S/ss,13.0,12.0,0,44,31,70.5%,311,10.0,7.1,1,97.8,7.6,179,132,38,0,0,0.0,0,51,4,7.3%,nwe
5,58.0,Jamie Collins,30.0,LB,16.0,15.0,3,33,24,72.7%,168,7.0,5.1,0,46.0,1.4,20,148,90,6,2,7.0,16,81,12,12.9%,nwe
6,32.0,Devin McCourty,32.0,DB,16.0,16.0,5,33,20,60.6%,220,11.0,6.7,2,61.0,8.6,95,125,16,1,0,0.0,1,58,5,7.9%,nwe
7,54.0,Dont'a Hightower*,29.0,LB,15.0,15.0,0,29,20,69.0%,195,9.8,6.7,2,110.6,3.0,59,136,78,6,6,5.5,19,71,3,4.1%,nwe
8,25.0,Terrence Brooks,27.0,,15.0,0.0,1,18,11,61.1%,112,10.2,6.2,0,55.8,6.2,75,37,13,0,3,0.0,3,24,1,4.0%,nwe
9,51.0,Ja'Whaun Bentley,23.0,lb,16.0,2.0,0,15,11,73.3%,64,5.8,4.3,0,81.0,3.5,26,38,27,3,1,0.0,4,44,3,6.4%,nwe
10,21.0,Duron Harmon,28.0,DB,16.0,8.0,2,15,8,53.3%,118,14.8,7.9,0,39.7,13.8,104,14,20,0,2,0.0,2,22,2,8.3%,nwe
11,53.0,Kyle Van Noy,28.0,LB,15.0,15.0,0,9,5,55.6%,60,12.0,6.7,1,113.2,8.2,31,29,115,11,7,6.5,24,56,6,9.7%,nwe
12,52.0,Elandon Roberts,25.0,lb,16.0,3.0,0,8,6,75.0%,60,10.0,7.5,0,95.8,5.3,33,27,17,0,2,1.0,3,29,1,3.3%,nwe
13,33.0,Joejuan Williams,22.0,,9.0,0.0,0,7,3,42.9%,32,10.7,4.6,0,56.8,14.1,29,3,0,0,0,0.0,0,5,0,0.0%,nwe
14,55.0,John Simon,29.0,DE,16.0,12.0,1,4,2,50.0%,21,10.5,5.3,0,26.0,5.0,2,19,13,3,1,4.0,8,44,3,6.4%,nwe
15,50.0,Chase Winovich,24.0,,16.0,0.0,0,2,2,100.0%,17,8.5,8.5,0,102.1,-2.0,-4,21,6,9,3,5.5,19,26,2,7.1%,nwe
16,70.0,Adam Butler,25.0,dl,16.0,2.0,0,1,0,0.0%,0,,0.0,0,39.6,-2.0,0,0,0,0,1,6.0,9,26,1,3.7%,nwe
17,93.0,Lawrence Guy,29.0,DL,16.0,16.0,1,0,0,,0,,,0,,,0,0,0,3,1,3.0,7,61,1,1.6%,nwe
18,71.0,Danny Shelton,26.0,DL,16.0,14.0,0,0,0,,0,,,0,,,0,0,0,3,3,3.0,9,61,3,4.7%,nwe
19,77.0,Michael Bennett,34.0,dl,6.0,1.0,0,0,0,,0,,,0,,,0,0,0,2,1,2.5,6,5,0,0.0%,nwe
20,91.0,Deatrich Wise,25.0,dl,14.0,3.0,0,0,0,,1,,,1,,,1,0,0,7,5,2.0,14,26,2,7.1%,nwe
21,90.0,Shilique Calhoun,27.0,lb,15.0,1.0,0,0,0,,0,,,0,,,0,0,17,3,3,0.0,6,9,1,10.0%,nwe
22,99.0,Byron Cowart,23.0,,5.0,0.0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,2,1,33.3%,nwe
23,,Team Total,,,,,25,512,303,56.5%,3214,10.6,6.1,13,62.8,9.5,1739,1379,457,58,41,46.0,151,928,66,6.6%,nwe
0,39.0,Levi Wallace,24.0,CB,16.0,16.0,2,105,69,65.7%,682,9.9,6.5,3,85.5,8.7,460,222,3,0,0,0.0,0,76,12,13.6%,buf
1,27.0,Tre'Davious White*+,24.0,CB,15.0,15.0,6,90,45,50.0%,626,13.9,7.0,0,45.0,10.1,378,248,6,0,0,1.0,1,58,9,13.4%,buf
2,58.0,Matt Milano,25.0,LB,15.0,15.0,0,52,35,67.3%,213,6.1,4.1,3,94.5,2.3,63,150,62,3,4,1.5,9,101,16,13.7%,buf
3,49.0,Tremaine Edmunds*,21.0,LB,16.0,16.0,1,52,34,65.4%,266,7.8,5.1,1,76.3,3.8,100,166,64,1,2,1.5,5,115,12,9.4%,buf
4,24.0,Taron Johnson,23.0,cb,12.0,7.0,0,49,33,67.3%,368,11.2,7.5,1,96.3,8.0,181,187,22,2,0,1.0,3,50,13,20.6%,buf
5,29.0,Kevin Johnson,27.0,cb,16.0,1.0,0,44,26,59.1%,301,11.6,6.8,0,79.8,9.0,198,103,6,0,0,1.0,1,36,6,14.3%,buf
6,21.0,Jordan Poyer,28.0,S,16.0,16.0,2,36,25,69.4%,358,14.3,9.9,5,117.8,10.8,198,160,37,2,0,1.0,3,107,9,7.8%,buf
7,23.0,Micah Hyde,29.0,S,16.0,16.0,1,32,21,65.6%,266,12.7,8.3,0,78.4,8.1,171,95,11,2,1,0.0,3,72,11,13.3%,buf
8,33.0,Siran Neal,25.0,s,15.0,1.0,0,19,14,73.7%,73,5.2,3.8,0,79.5,3.7,12,61,6,0,0,0.0,0,36,3,7.7%,buf
9,57.0,Lorenzo Alexander,36.0,lb,16.0,7.0,0,15,12,80.0%,81,6.8,5.4,1,111.4,3.3,21,60,35,4,6,2.0,13,55,6,9.8%,buf
10,31.0,Dean Marlowe,27.0,s,9.0,2.0,0,10,7,70.0%,41,5.9,4.1,1,110.8,5.5,24,17,6,0,0,0.0,0,11,0,0.0%,buf
11,52.0,Corey Thompson,26.0,,12.0,0.0,0,6,4,66.7%,26,6.5,4.3,0,75.7,4.0,11,15,3,0,0,0.0,0,7,1,12.5%,buf
12,41.0,Maurice Alexander,28.0,,7.0,0.0,0,5,4,80.0%,49,12.3,9.8,0,107.5,4.0,20,29,2,0,0,0.0,0,11,0,0.0%,buf
13,93.0,Trent Murphy,29.0,DE,16.0,16.0,1,3,2,66.7%,14,7.0,4.7,0,37.5,-1.3,1,13,3,9,5,5.0,19,36,5,12.2%,buf
14,98.0,Star Lotulelei,30.0,DT,16.0,16.0,1,3,2,66.7%,-3,-1.5,-1.0,0,30.6,-4.7,-6,3,0,1,1,2.0,4,19,3,13.6%,buf
15,90.0,Shaq Lawson,25.0,,15.0,0.0,0,2,2,100.0%,7,3.5,3.5,0,81.2,2.0,4,3,0,12,9,6.5,28,32,7,17.9%,buf
16,46.0,Jaquan Johnson,24.0,,13.0,0.0,0,2,2,100.0%,13,6.5,6.5,0,93.7,-3.0,-6,19,0,0,0,0.0,0,8,0,0.0%,buf
